Date,Actual,Goal
29/12/2022,4414,8670
30/12/2022,5176,7820
31/12/2022,10393,7300
01/01/2023,8234,7610
02/01/2023,6505,7740
03/01/2023,8412,7620
04/01/2023,1781,7700
05/01/2023,4430,7110
06/01/2023,3838,6580
07/01/2023,1853,6040
08/01/2023,12071,5210
09/01/2023,7868,5900
10/01/2023,9315,6300
11/01/2023,7309,6910
12/01/2023,9902,6990
13/01/2023,13494,7580
14/01/2023,2497,8770
15/01/2023,6411,8150
16/01/2023,15889,7810
17/01/2023,8638,8620
18/01/2023,15310,8630
19/01/2023,19616,9970
20/01/2023,10070,11900
21/01/2023,7032,11720
22/01/2023,4405,10790
23/01/2023,14319,9520
24/01/2023,9759,10000
25/01/2023,10494,9980
26/01/2023,16826,10040
27/01/2023,17827,11400
28/01/2023,15700,12690
29/01/2023,12836,13300
30/01/2023,11099,13260
31/01/2023,15083,12830
01/02/2023,9945,13060
02/02/2023,16934,12750
03/02/2023,15101,13230
04/02/2023,6369,13610
05/02/2023,12321,12890
06/02/2023,10120,12780
07/02/2023,12401,12250
08/02/2023,17309,12270
09/02/2023,13840,13280
10/02/2023,13564,13400
11/02/2023,14587,13440
12/02/2023,19365,13670
13/02/2023,8458,14810
14/02/2023,9379,14180
15/02/2023,20441,13220
16/02/2023,15244,13950
17/02/2023,11989,14210
18/02/2023,8769,13990
19/02/2023,23216,12950
20/02/2023,8806,13980
21/02/2023,10425,13470
22/02/2023,10687,12870
23/02/2023,19275,12440
24/02/2023,4362,13130
26/02/2023,921,12440
27/02/2023,10453,12440
28/02/2023,9666,12050
01/03/2023,17499,11580
02/03/2023,15248,12180
03/03/2023,16721,12800
04/03/2023,8006,13590
05/03/2023,12939,13040
06/03/2023,3584,13020
07/03/2023,10024,11140
08/03/2023,18883,10920
09/03/2023,9572,11720
10/03/2023,11072,11510
11/03/2023,13286,11430
12/03/2023,19841,11620
13/03/2023,12724,13270
14/03/2023,11540,13220
15/03/2023,21009,12890
16/03/2023,6937,13710
17/03/2023,10463,13040
18/03/2023,14985,12530
19/03/2023,2406,12780
20/03/2023,8842,11750
21/03/2023,11264,11170
22/03/2023,5518,11180
23/03/2023,19928,10620
24/03/2023,14820,11550
25/03/2023,19784,12210
26/03/2023,11162,13730
27/03/2023,7226,13480
28/03/2023,46651,12230
29/03/2023,385,14230
01/04/2023,321,14230
