Date,Active Calories,Resting Calories,Total
26/11/2022,658,2086,2744
27/11/2022,193,2086,2279
28/11/2022,259,2086,2345
29/11/2022,217,2086,2303
30/11/2022,93,2086,2179
01/12/2022,342,2086,2428
02/12/2022,310,2086,2396
03/12/2022,706,2086,2792
04/12/2022,1910,2086,3996
05/12/2022,194,2086,2280
06/12/2022,308,2086,2394
07/12/2022,414,2086,2500
08/12/2022,270,2086,2356
09/12/2022,179,2086,2265
10/12/2022,381,2086,2467
11/12/2022,169,2086,2255
12/12/2022,182,2086,2268
13/12/2022,354,2086,2440
14/12/2022,237,2086,2323
15/12/2022,203,2086,2289
16/12/2022,229,2086,2315
17/12/2022,435,2086,2521
18/12/2022,1125,2086,3211
19/12/2022,573,2086,2659
20/12/2022,355,2086,2441
21/12/2022,367,2086,2453
22/12/2022,1470,2086,3556
23/12/2022,1065,2086,3151
24/12/2022,338,2086,2424
25/12/2022,58,2086,2144
26/12/2022,407,2086,2493
27/12/2022,180,2086,2266
28/12/2022,323,2086,2409
29/12/2022,74,2086,2160
30/12/2022,279,2086,2365
31/12/2022,325,2086,2411
01/01/2023,264,2086,2350
02/01/2023,184,2086,2270
03/01/2023,183,2086,2269
04/01/2023,6,2086,2092
05/01/2023,121,2086,2207
06/01/2023,134,2086,2220
07/01/2023,9,2086,2095
08/01/2023,335,2086,2421
09/01/2023,232,2086,2318
10/01/2023,210,2080,2290
11/01/2023,230,2080,2310
12/01/2023,339,2080,2419
13/01/2023,530,2080,2610
14/01/2023,13,2080,2093
15/01/2023,157,2080,2237
16/01/2023,485,2080,2565
17/01/2023,182,2080,2262
18/01/2023,452,2080,2532
19/01/2023,831,2080,2911
20/01/2023,349,2080,2429
21/01/2023,219,2080,2299
22/01/2023,157,2080,2237
23/01/2023,464,2080,2544
24/01/2023,316,2080,2396
25/01/2023,302,2080,2382
26/01/2023,748,2080,2828
27/01/2023,430,2080,2510
28/01/2023,485,2080,2565
29/01/2023,365,2080,2445
30/01/2023,312,2080,2392
31/01/2023,362,2080,2442
01/02/2023,301,2080,2381
02/02/2023,631,2080,2711
03/02/2023,663,2080,2743
04/02/2023,219,2080,2299
05/02/2023,376,2080,2456
06/02/2023,374,2080,2454
07/02/2023,228,2080,2308
08/02/2023,390,2080,2470
09/02/2023,581,2080,2661
10/02/2023,393,2080,2473
11/02/2023,448,2080,2528
12/02/2023,320,2080,2400
13/02/2023,102,2080,2182
14/02/2023,225,2080,2305
15/02/2023,615,2080,2695
16/02/2023,592,2080,2672
17/02/2023,338,2080,2418
18/02/2023,320,2080,2400
19/02/2023,581,2080,2661
20/02/2023,77,2080,2157
21/02/2023,266,2080,2346
22/02/2023,235,2080,2315
23/02/2023,825,2080,2905
24/02/2023,95,1168,1263
26/02/2023,4,2080,2084
27/02/2023,364,2080,2444
28/02/2023,271,2080,2351
01/03/2023,770,2080,2850
02/03/2023,620,2080,2700
03/03/2023,594,2080,2674
04/03/2023,218,2080,2298
05/03/2023,390,2080,2470
06/03/2023,99,2080,2179
07/03/2023,291,2080,2371
08/03/2023,953,2080,3033
09/03/2023,293,2080,2373
10/03/2023,663,2080,2743
11/03/2023,512,2080,2592
12/03/2023,720,2080,2800
13/03/2023,375,2080,2455
14/03/2023,385,2080,2465
15/03/2023,980,2080,3060
16/03/2023,192,2080,2272
17/03/2023,312,2080,2392
18/03/2023,674,2080,2754
19/03/2023,40,2080,2120
20/03/2023,232,2080,2312
21/03/2023,484,2080,2564
22/03/2023,109,2080,2189
23/03/2023,1067,2080,3147
24/03/2023,375,2080,2455
25/03/2023,1007,2080,3087
26/03/2023,244,2080,2324
27/03/2023,172,2080,2252
28/03/2023,996,2080,3076
29/03/2023,7,764,771
01/04/2023,2,2080,2082
02/04/2023,591,2080,2671
03/04/2023,388,686,1074
04/04/2023,1,2080,2081
05/04/2023,142,2080,2222
06/04/2023,141,2080,2221
07/04/2023,387,2080,2467
08/04/2023,174,2080,2254
09/04/2023,110,2080,2190
10/04/2023,256,2080,2336
11/04/2023,120,2080,2200
12/04/2023,736,2080,2816
13/04/2023,14,2080,2094
14/04/2023,1444,2080,3524
15/04/2023,617,2080,2697
16/04/2023,188,2080,2268
17/04/2023,142,2080,2222
18/04/2023,393,2080,2473
19/04/2023,143,2080,2223
20/04/2023,6,2080,2086
21/04/2023,253,2080,2333
22/04/2023,6,2080,2086
23/04/2023,282,2080,2362
